,created_at,id,text
0,2016-12-26T21:37:34.000Z,813499015753039872,The holidays are a time to be thankful for our blessings. Let's rejoice in this season &amp; look forward with renewed hope &amp; determination. -H
1,2016-11-24T20:40:17.000Z,801888191276089344,I was greeted by this heartwarming display on the corner of my street today. Thank you to all of you who did this. Happy Thanksgiving. -H https://t.co/b69mW3Oqbf
2,2016-11-24T20:37:00.000Z,801887362787770368,"Hoping everyone has a safe &amp; Happy Thanksgiving today, &amp; quality time with family &amp; friends. -H"
3,2016-11-17T00:15:53.000Z,799043343275753472,Looking forward to honoring some brave young people tonight at @ChildDefender where I started my career. Tune in: https://t.co/4gmaM2A9Dx -H
4,2016-11-09T18:55:10.000Z,796425920378765313,"Scripture tells us: Let us not grow weary in doing good, for in due season, we shall reap, if we do not lose heart. https://t.co/snXfdLgZq8"
5,2016-11-09T16:53:19.000Z,796395255432146948,“Let us have faith in each other. Let us not grow weary. Let us not lose heart. For there are more seasons to come and...more work to do.”
6,2016-11-09T16:53:02.000Z,796395181008416773,"“We are stronger together and will go forward together. And you should never, ever regret fighting for that.” —Hillary"
7,2016-11-09T16:52:19.000Z,796395004331786246,“I am grateful to our country for all it has given me. I count my blessings every day that I am an American.” —Hillary
8,2016-11-09T16:51:59.000Z,796394920051441664,"""To all the little girls watching...never doubt that you are valuable and powerful &amp; deserving of every chance &amp; opportunity in the world."""
9,2016-11-09T16:51:46.000Z,796394862429999104,"""We have still have not shattered that highest and hardest glass ceiling. But some day, someone will."" —Hillary"
0,2016-11-09T16:50:46.000Z,796394614244646912,"""To all the women...who put their faith in this campaign and in me...nothing has made me prouder than to be your champion."" —Hillary"
1,2016-11-09T16:50:23.000Z,796394515582095361,"""This loss hurts. But please never stop believing that fighting for what’s right is worth it."" —Hillary"
2,2016-11-09T16:47:31.000Z,796393795965304833,"""To Bill, Chelsea, Marc, Charlotte, Aidan, our brothers, and our entire family—my love for you means more than I can ever express."" —Hillary"
3,2016-11-09T16:47:13.000Z,796393719524130816,"""To Barack and Michelle Obama, our country owes you an enormous debt of gratitude. We thank you for your graceful, determined leadership.”"
4,2016-11-09T16:45:58.000Z,796393404095692800,"""I want to thank Tim Kaine and Anne Holton for being our partners on this journey."" —Hillary"
5,2016-11-09T16:45:42.000Z,796393337712443392,"""Our responsibility as citizens is to keep doing our part to build that better, stronger, fairer America we seek. And I know you will.”"
6,2016-11-09T16:44:28.000Z,796393027975729152,"""Our constitutional democracy demands our participation, not just every four years, but all the time."" —Hillary"
7,2016-11-09T16:43:34.000Z,796392800350863360,“Donald Trump is going to be our president. We owe him an open mind and the chance to lead.” —Hillary
8,2016-11-09T16:43:20.000Z,796392743027310592,"""We have seen that our nation is more deeply divided than we thought. But I still believe in America—and I always will."" —Hillary"
9,2016-11-09T16:43:06.000Z,796392680888614912,"""I want you to remember this: Our campaign was never about one person or even one election. It was about the country we love.” —Hillary"
0,2016-11-09T16:42:39.000Z,796392571073335296,"“You represent the best of America, and being your candidate has been one of the greatest honors of my life.” —Hillary to @HFA"
1,2016-11-09T16:42:21.000Z,796392494435102722,"""This is not the outcome we wanted. I’m sorry we did not win this election for the values we share and the vision we hold for our country."""
2,2016-11-09T16:42:06.000Z,796392429112926208,“I hope that he will be a successful president for all Americans.” —Hillary on Donald Trump
3,2016-11-09T16:41:42.000Z,796392332467851264,“Last night I congratulated Donald Trump and offered to work with him on behalf of our country.” —Hillary
4,2016-11-09T16:34:22.000Z,796390484084215808,Watch Hillary deliver remarks on the election from New York City: https://t.co/MTRLzjN42x
5,2016-11-09T01:55:01.000Z,796169187882369024,"This team has so much to be proud of. Whatever happens tonight, thank you for everything. https://t.co/x13iWOzILL"
6,2016-11-09T01:42:10.000Z,796165954048757760,"RT @timkaine: Thinking about my daughter right now. No little girl will ever again have to wonder whether she, too, can be president. https…"
7,2016-11-09T00:45:15.000Z,796151631335329792,"RT @HillaryforNC: If you haven't voted, NC, @POTUS needs you to get in line. As long as you're in line when polls close, you can vote. http…"
8,2016-11-09T00:12:06.000Z,796143289971994624,"Remember, if you are in line before polls close, you can vote! Have a question? Call 1-917-444-5915. https://t.co/2MVKOatmvy"
9,2016-11-08T22:54:21.000Z,796123724479164416,"Election Day is almost over. Don’t wait—go vote now! 
Confirm where you vote at https://t.co/jfd3CXLD1s https://t.co/IvyE2hJFEU"
0,2016-11-08T22:02:33.000Z,796110686434787329,"RT @RobbyMook: Strong Dem Broward + Orange Counties, FL surpassed total 2012 turnout as of 4pm. Amazing work, @HillaryforFL volunteers! #GO…"
1,2016-11-08T21:02:19.000Z,796095529637789696,Our neighbors in battleground states need your help. Make calls to remind Hillary supporters to go vote: https://t.co/Iyboc4TNeA
2,2016-11-08T20:01:45.000Z,796080287985926144,"Today's the day when we show how much stronger we are together. Once you’ve voted, sign up for a volunteer shift: https://t.co/KUIKH9W2ct"
3,2016-11-08T18:59:21.000Z,796064581865078784,"It's going to be close, and we need you on this team. Confirm where to vote today: https://t.co/jfd3CXLD1s"
4,2016-11-08T18:25:56.000Z,796056175179599872,"If you’ve already voted, jump on the phone and remind voters in key battleground states to go vote: https://t.co/Iyboc4TNeA https://t.co/az0v18giTx"
5,2016-11-08T17:23:42.000Z,796040510997676032,RT @VP: Today is Election Day in America. It’s time to get out and vote. https://t.co/a0MJUF4QIy
6,2016-11-08T17:09:08.000Z,796036845700141056,"Today, let's show the world that love will always trump hate. https://t.co/jfd3CXu1CS https://t.co/a7FXGtAfiG"
7,2016-11-08T16:59:17.000Z,796034365696446464,"RT @aliciakeys: This morning, I woke up feeling hopeful for the power of our voice, for unity, for our continued progress. #VoteLove #ImWit…"
8,2016-11-08T16:39:30.000Z,796029388043141120,"How do we go high? 

We vote: https://t.co/jfd3CXu1CS https://t.co/rx5OWheuBd"
9,2016-11-08T16:18:24.000Z,796024078993911808,Already voted? That's great! Now help Hillary win by signing up to make calls now: https://t.co/2yc00omuvC
0,2016-11-08T16:15:08.000Z,796023255580680192,"RT @JeanneShaheen: We just voted to elect the 1st woman to be our President. Let me tell you, it feels amazing! #nhpolitics https://t.co/iK…"
1,2016-11-08T16:10:19.000Z,796022046593531904,RT @elizabethforma: This morning I proudly cast my vote for @HillaryClinton to be the next President of the United States. #ImWithHer https…
2,2016-11-08T16:03:58.000Z,796020446693101568,"RT @POTUS: Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too."
3,2016-11-08T15:19:57.000Z,796009368097554432,"RT @EricaSmegs: Don't worry, Mom, I'll remember to vote today even though ur not here to remind me. Love you. This one is for you. https://…"
4,2016-11-08T15:09:05.000Z,796006636078985216,Happy Election Day! https://t.co/jfd3CXLD1s https://t.co/IfOBRuvQzJ
5,2016-11-08T15:03:04.000Z,796005120043548672,"Today's the day when we show how much stronger we are together. Once you’ve voted, sign up for a volunteer shift: https://t.co/KUIKH9W2ct https://t.co/zDlXKBFDGL"
6,2016-11-08T14:52:50.000Z,796002546036965377,RT @ChelseaClinton: Couldn’t be more proud of my mom &amp; the campaign she's run. Let’s bring it home for her today. https://t.co/Mw1JC5L9rj
7,2016-11-08T14:26:20.000Z,795995877001334785,"RT @repjohnlewis: The right to vote is precious, almost sacred. It is the most powerful nonviolent tool or instrument we have in a democrat…"
8,2016-11-08T14:22:38.000Z,795994944339066882,RT @JeremyShorr: She once told me girls couldn't be #astronauts or #presidents. Showed her #SallyRide. Hope to show her @HillaryClinton tom…
9,2016-11-08T13:59:37.000Z,795989151116095488,Everything we’ve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https://t.co/AhvOOB6L6C
0,2016-11-08T13:23:33.000Z,795980075917344769,"RT @timkaine: I wanted to be first at my polling place, but 99-year-old Minerva Turpin beat me to it. Looks like I need to get used to bein…"
1,2016-11-08T13:00:42.000Z,795974327611129856,Let’s go make some history today. https://t.co/jfd3CXLD1s https://t.co/IbRcWWun7J
2,2016-11-08T12:47:19.000Z,795970957383004160,RT @TheDemocrats: Let us bend the arc of history toward justice once more. https://t.co/JjkvA5ZKTj
